id,crop,disease_name,disease_type,scientific_name,symptoms,causes,visual_detection_cues,cure_treatment,prevention_suggestions,severity
1,Rice,Bacterial Leaf Blight,Bacterial,Xanthomonas oryzae pv. oryzae,Water-soaked yellow-to-white stripes on leaf margins that turn yellow-brown; leaves wilt and dry from the tip; in seedlings whole plant may wilt (kresek stage).,"Bacteria spreads via irrigation water, rain splash, wind and contaminated seed/tools; favored by warm humid weather (25-34°C) and high nitrogen.","Long wavy yellow lesions running parallel to leaf veins starting at margins/tip, later turning grayish-white with wavy edge.",Drain field and avoid flooding; spray Copper oxychloride (0.3%) or Streptocycline (100-200 ppm) mixed with Copper oxychloride; use resistant varieties for next season.,Use certified disease-free seed; balanced NPK (avoid excess nitrogen); maintain field drainage; avoid clipping seedling leaf tips during transplanting; rotate with non-host crop.,High
2,Rice,Rice Blast,Fungal,Magnaporthe oryzae (Pyricularia oryzae),Diamond/spindle shaped grey-centered spots with brown margins on leaves; node blast causes blackening and breaking of stem; neck blast causes empty panicles.,"High humidity, extended leaf wetness, dense planting, excess nitrogen, temperature 25-28°C.",Eye/diamond-shaped lesions with grey/white center and reddish-brown border on leaf blade; blackened node or neck.,Spray Tricyclazole 75% WP (0.6 g/L) or Isoprothiolane at first symptom; repeat after 10-15 days if needed.,Use resistant varieties; avoid excess nitrogen; ensure proper spacing for airflow; treat seed with Carbendazim before sowing.,High
3,Rice,Sheath Blight,Fungal,Rhizoctonia solani,"Oval greenish-grey water-soaked lesions on leaf sheath near water line, enlarging with irregular brown margins; lesions may girdle the sheath.","High humidity, dense canopy, excess nitrogen, standing water, temperature 28-32°C.","Cloud/snake-skin pattern lesions on lower leaf sheath, greyish-white center with brown border.",Spray Hexaconazole 5% SC or Validamycin at early tillering/booting stage; drain excess water.,"Avoid overcrowding, maintain optimum spacing, balanced fertilization, remove infected stubble after harvest.",Medium
4,Rice,Brown Spot,Fungal,Bipolaris oryzae (Cochliobolus miyabeanus),Small circular to oval brown spots with grey/white center on leaves and grain; severe infection causes leaf blight.,"Nutrient-deficient soil (especially potassium), high humidity, stressed/old seedlings.","Numerous small round dark-brown spots scattered across leaf surface, resembling sesame seeds.",Spray Mancozeb 0.2% or Propiconazole; apply potash fertilizer to correct deficiency.,"Use healthy seed, treat seed with Carbendazim, maintain balanced soil fertility (esp. potassium & zinc).",Medium
5,Wheat,Yellow Rust (Stripe Rust),Fungal,Puccinia striiformis,Yellow-orange powdery pustules arranged in stripes along leaf veins; severe infection causes leaf drying and yield loss.,"Cool moist weather (10-15°C), high humidity, dew, wind-borne spores.","Bright yellow powdery streaks in linear rows along the leaf blade, rub off as yellow powder on finger.",Spray Propiconazole 25% EC (0.1%) or Tebuconazole at first appearance; repeat after 15 days if severe.,"Grow resistant varieties, timely sowing, avoid excess nitrogen, monitor field regularly during cool season.",High
6,Wheat,Brown Rust (Leaf Rust),Fungal,Puccinia triticina,Small round orange-brown pustules scattered irregularly (not in stripes) on upper leaf surface.,"Warm humid weather (15-25°C), dense crop canopy, wind dispersal of spores.","Round orange-brown powdery pustules randomly scattered on leaf, distinguishing it from the striped yellow rust.",Spray Propiconazole or Mancozeb at first sign; two sprays 15 days apart usually sufficient.,"Plant resistant varieties, avoid late sowing, balanced fertilizer application.",Medium
7,Wheat,Powdery Mildew,Fungal,Blumeria graminis,"White powdery fungal growth on leaves, stems and ear; leaves turn yellow and wither in severe cases.","Cool humid weather, dense sowing, shade, excess nitrogen.","Talcum-powder-like white patches on upper leaf surface, easily wiped off.","Spray Sulphur dust (25kg/ha) or wettable Sulphur 0.2%, or Propiconazole.","Avoid dense sowing, use resistant varieties, avoid excess irrigation/nitrogen.",Medium
8,Wheat,Loose Smut,Fungal,Ustilago tritici,"Ear head replaced by black powdery mass of spores, visible at heading stage; whole grain destroyed.","Seed-borne infection, spores enter floral parts during flowering of previous crop.",Black soot-like powder covering the entire ear head instead of grains.,No in-season cure; rogue out and destroy infected ears before spores spread; treat seed for next season.,Use certified disease-free seed; treat seed with Carboxin or Vitavax (2-2.5 g/kg seed) before sowing.,Medium
9,Maize,Turcicum Leaf Blight (Northern Corn Leaf Blight),Fungal,Exserohilum turcicum,"Long elliptical greyish-green to tan lesions on leaves, running parallel to leaf margin; lesions coalesce causing leaf blight.","Warm humid weather, continuous cropping, crop residue carrying spores.","Cigar-shaped grey-tan lesions, 2-15 cm long, on lower leaves first.",Spray Mancozeb 75% WP (0.25%) or Propiconazole at early symptom stage; repeat after 10-15 days.,"Use resistant hybrids, crop rotation, destroy crop residue, avoid dense planting.",Medium
10,Maize,Maize Common Rust,Fungal,Puccinia sorghi,Small round to elongated reddish-brown pustules scattered on both leaf surfaces.,"Cool moist weather (16-23°C), high humidity, wind-borne spores.","Cinnamon-brown powdery pustules on both sides of the leaf, rupturing the epidermis.",Spray Mancozeb or Propiconazole if severity is high before tasseling.,"Plant resistant hybrids, avoid late planting, monitor fields regularly.",Low
11,Maize,Fall Armyworm,Pest,Spodoptera frugiperda,"Ragged/window-pane feeding on leaves, holes in whorl, sawdust-like frass (excreta) in the funnel.",Moth lays eggs on leaves; larvae feed voraciously especially in whorl stage; favored by warm weather.,Skeletonized leaves with round-to-oblong holes in a row pattern; larvae with inverted 'Y' mark on head visible in whorl.,Apply Emamectin benzoate 5% SG (0.4 g/L) or Spinetoram directly into the whorl; hand-pick larvae in small fields.,"Early sowing, regular scouting, use pheromone traps, encourage natural predators, intercrop with legumes.",High
12,Cotton,Bacterial Blight (Angular Leaf Spot),Bacterial,Xanthomonas citri pv. malvacearum,"Small angular water-soaked spots on leaves bound by veins, turning brown/black; black lesions on stems and bolls.","Rain splash, wind, contaminated seed, warm humid weather.","Angular dark spots restricted by leaf veins (not round), giving a mosaic-like pattern.",Spray Copper oxychloride (0.3%) with Streptocycline (100 ppm); remove and destroy infected plant debris.,"Use acid-delinted/treated seed, avoid overhead irrigation, crop rotation with non-host crops.",Medium
13,Cotton,Pink Bollworm,Pest,Pectinophora gossypiella,"Rosette flowers (petals stuck together); bolls have small entry holes, damaged/pink-stained lint and seeds inside.","Moth lays eggs on squares/bolls; larvae bore inside, favored by continuous cotton cultivation and warm weather.",Rosetted flower petals; small dark holes on boll surface with frass; pink caterpillar found inside boll on cutting open.,Spray Profenofos 50% EC or use pheromone (gossyplure) traps; apply Emamectin benzoate if infestation is high.,"Install pheromone traps early season, destroy crop residue after harvest, avoid ratoon cotton, timely sowing and uprooting after last picking.",High
